音楽を<聞きた>。	音楽を(聞いた)。
<昨日雪が降る>。	(昨日雪が降った)。
<昨日雪が降る>。	(昨日雪が降りました)。
あの部屋は<綺麗なです>。	あの部屋は(綺麗です)。
あの部屋は<綺麗だです>。	あの部屋は(綺麗です)。
ピザを<食ぶ>ことが好きです。	ピザを(食べる)ことが好きです。
<静か図書館>で勉強します。	(静かな図書館)で勉強します。
<静かだ図書館で勉強します>。	(静かな図書館で勉強します)。
<ナルトのマンガは有名なです>。	(ナルトは有名なマンガです)。
ナルトのマンガは<有名なです>。	ナルトのマンガは(有名です)。
友達が<一人あります>。	友達が(一人います)。
<家を出るなら>、雨が降ってきました。	(家を出たら)、雨が降ってきました。
メールを送りましたが、まだ返事が<返りません>。	メールを送りましたが、まだ返事が(返っていない)。
メールを送りましたが、<まだ返事が返りません>。	メールを送りましたが、(まだ返事が返っていません)。
メールを送りましたが、まだ返事が<返りません>。	メールを送りましたが、まだ返事が(来ません)。
<メールを送りましたが、まだ返事が返りません>。	(メールを送りましたが、まだ返事が返ってきません)。
リサさんは家に<帰ったでした>。	リサさんは家に(帰りました)。
リサさんは家に<帰ったでした>。	リサさんは家に(帰った)。
今年のへやは<くらくじゃ>ありません。	今年のへやは(くらく)ありません。
<今年のへやは>くらくじゃありません。	(このへやは)くらくじゃありません。
犬は<ちょうと>うるさいです。	犬は(ちょっと)うるさいです。
<犬はうるさくてです>。	(犬はうるさいです)。
<死にて>はいけません。	(死んで)はいけません。
今日何時に<おかった>。	今日何時に(おきた)。
<今日何時におかった>。	(今日、何時に起きた)。
<うちで車>は綺麗。	(うちの車)は綺麗。
<僕で背>が低い。	(僕の背)が低い。
図書館は、<静かます>。	図書館は、(静かです)。
<図書館は、静かます>。	(図書館は静かです)。
今日は雨ですけど<かさがいない>。	今日は雨ですけど(かさがない)。
アパートは<静かなで>、大きいです。	アパートは(静かで)、大きいです。
父はいつも<静かなです>。	父はいつも(静かです)。
お風呂に<はいって前に>ごはんを食べました。	お風呂に(はいる前に)ごはんを食べました。
<お風呂にはいって前にごはんを食べました>。	(ごはんを食べる前にお風呂にはいりました)。
<お風呂にはいって前にごはんを食べました>。	(お風呂にはいってからごはんを食べました)。
たくさん<勉強してから>テストは１００点でした。	たくさん(勉強したから)テストは１００点でした。
月を<見るでした>か。	月を(見ました)か。
パーティはとても<いいでした>。	パーティはとても(よかったです)。
パーティはとても<いいでした>。	パーティは(とてもよかった)。
先生に<会いなかった>。	先生に(会わなかった)。
日本に<いくの事があります>。	日本に(いったことがあります)。
日本に<いくの事が>あります。	日本に(いった事)あります。
日本に<いくの事>があります。	日本に(いく事)があります。
日本にいくの<事があるますです>。	日本にいく(事があります)。
山田さんは<せがながい>です。	山田さんは(せがたかい)です。
テニス<するない>つもりです。	テニス(しない)つもりです。
漢字をたくさん<書くます>。	漢字をたくさん(書きます)。
去年、<宿題がきらかった>。	去年、(宿題が嫌いだった)。
去年、宿題が<きらかった>。	去年、宿題が(嫌いでした)。
このケーキを<作りた>。	このケーキを(作った)。
ゴルフを<あそびますか>。	ゴルフを(しますか)。
次の<信号に>まがる。	次の(信号で)まがる。
次の信号<にまがる>。	次の信号(をまがる)。
日本語が上手に<話すように>、毎日勉強します。	日本語が上手に(話せるように)、毎日勉強します。
日本語<が>上手に話すように、毎日勉強します。	日本語(を)上手に話すように、毎日勉強します。
毎日、朝ご飯を<食ぶ>。	毎日、朝ご飯を(食べます)。
毎日、朝ご飯を<食ぶ>。	毎日、朝ご飯を(食べる)。
昨日は三十分しか寝<ました>。	昨日は三十分しか寝(ませんでした)。
近所の公園に、さくらの木が三、四本<います>。	近所の公園に、さくらの木が三、四本(あります)。
<静かにありません>。	(静かではありません)。
<静かにありません>。	(静かじゃありません)。
<静かにありません>。	(静かにしません)。
<日本語クラス>にかんじを書きます。	(日本語のクラス)にかんじを書きます。
<日本語クラスにかんじを書きます>。	(日本語クラスでかんじを書きます)。
田中さんは<どのですか>。	田中さんは(どんなひとですか)。
田中さんは<どのですか>。	田中さんは(だれですか)。
テニスを<あそびます>。	テニスを(します)。
テニス<を>あそびます。	テニス(で)あそびます。
ここで<待ってします>。	ここで(待っています)。
昨日は<寒いだった>。	昨日は(寒かった)。
おばけは、<こわくません>。	おばけは、(こわくありません)。
たけしさんは英語の本を<読みて>います。	たけしさんは英語の本を(読んで)います。
窓から綺麗な<花が見ます>。	窓から綺麗な(花が見えます)。
<これの>水着はオレンジと白です。	(この)水着はオレンジと白です。
<座るください>。	(座ってください)。
山田先生はもう３冊も本を<書きます>。	山田先生はもう３冊も本を(書きました)。
となりのへやから、音が<ききます>。	となりのへやから、音が(きこえます)。
<おかねがないで>、こまります。	(おかねがないので)、こまります。
<おかねがないで、こまります>。	(おかねがないので、こまっています)。
電車の中で携帯電話を<使う>はだめです。	電車の中で携帯電話を(使うの)はだめです。
去年日本に<行きたい>です。	去年日本に(行きたかった)です。
<去年>日本に行きたいです。	(来年)日本に行きたいです。
<静かなして>ください。	(静かにして)ください。
あそこに<大きいの本>があります。	あそこに(大きい本)があります。
休みは何<が>しますか。	休みは何(を)しますか。
フライパンに<油をおきます>。	フライパンに(油をかけます)。
フライパンに油を<おきます>。	フライパンに油を(ひきます)。
図書館は、静か<ました>。	図書館は、静か(でした)。
日本の車は<すぐれます>。	日本の車は((性能が)すぐれています)。
日本の車は<すぐれます>。	日本の車は(すぐれています)。
あなたは<何が>アニメが好きですか。	あなたは(どんな)アニメが好きですか。
あなたは<何がアニメ>が好きですか。	あなたは(何のアニメ)が好きですか。
昨日は<雨だでしょう>。	昨日は(雨だった)。
昨日は<雨だでしょう>。	昨日は(雨でした)。
今日何時に<おきますか>。	今日何時に(おきましたか)。
駅は<近くに便利ですね>。	駅は(近くにあるから便利ですね)。
駅は<近くに>便利ですね。	駅は(近くて)便利ですね。
トムさんは、パーティーに<きなかったね>。	トムさんは、パーティーに(こなかったね)。
トムさんは、<パーティーにきなかったね>。	トムさんは、(パーティーにこなかったですね)。
このことばの意味が<知りません>。	このことばの意味が(分かりません)。
このことばの<意味が知りません>。	このことばの(意味がわかりません)。
<静かありません>。	(静かじゃありません)。
<静かありません>。	(静かではありません)。
山田さんは<病気な>学生です。	山田さんは(病気の)学生です。
山田さんは<病気な学生>です。	山田さんは(病気がちな学生)です。
<山田さんは病気な学生です>。	(山田さんは学生で、病気です)。
ジョンさんを<知りますか>。	ジョンさんを(知っていますか)。
友達が一人も<ありません>。	友達が一人も(いません)。
このスープは<熱いでした>。	このスープは(熱かったです)。
このスープは<熱いでした>。	このスープは(熱かった)。
このスープは<熱いでした>。	このスープは(熱いです)。
立ったり、<すわたり>します。	立ったり、(すわったり)します。
私は<席の窓側に>座りたいです。	私は(窓側の席に)座りたいです。
私は<それ席>に座りたいです。	私は(その席)に座りたいです。
<あのコンビニは小さいで、うちに近いです>。	(あのコンビニは小さいですが、うちに近いです)。
あのコンビニは<小さいで>、うちに近いです。	あのコンビニは(小さいくて)、うちに近いです。
あのコンビニは<小さいで>、うちに近いです。	あのコンビニは(小さくて)、うちに近いです。
バス停に<バスをまちて>、バスに乗ります。	バス停に(バスをまって)、バスに乗ります。
<バス停にバスをまちて>、バスに乗ります。	(バス停でバスをまって)、バスに乗ります。
昨日すし屋へ<行ってみよう>。	昨日すし屋へ(行ってみた)。
<昨日すし屋へ行ってみよう>。	(昨日のすし屋へ行ってみよう)。
<昨日すし屋へ行ってみよう>。	(明日、すし屋へ行ってみよう)。
<４００学生>がいます。	(４００人の学生)がいます。
<４００学生がいます>。	(学生が４００人います)。
私のコンピューターを<使っかった>。	私のコンピューターを(使った)。
おばけは、<こわいません>。	おばけは、(こわくありません)。
プールで<泳ぎだ>。	プールで(泳いだ)。
<映画を見って>、ジュースを飲みます。	(映画を見て)、ジュースを飲みます。
私は宿題を<しないでした>。	私は宿題を(しませんでした)。
プールで<泳ぎない>。	プールで(泳がない)。
友達と<あそぶ、>寝ます。	友達と(あそんで、)寝ます。
友達と<あそびて、>寝ます。	友達と(あそんで、)寝ます。
<友達とあそびて>、寝ます。	(友達とあそんでから)、寝ます。
京都へは<行くない>。	京都へは(行かない)。
ドアの前で<待ちた>。	ドアの前で(待った)。
昨日は、<さむいでした>。	昨日は、(さむかったです)。
音楽の先生は<厳しいで>、こわいです。	音楽の先生は(厳しくて)、こわいです。
図書館は、<静かくない>。	図書館は、(静かじゃない)。
先生、明日<参りますか>。	先生、明日(いらっしゃいますか)。
ぼうしを<着ます>。	ぼうしを(かぶります)。
明日ちゃんと晩御飯を<食べました>。	明日ちゃんと晩御飯を(食べます)。
田中さんを<知ています>。	田中さんを(知っています)。
このケーキを<作るでした>。	このケーキを(作りました)。
私のへやは、<綺麗かった>。	私のへやは、(綺麗でした)。
リサさんは疲れたから<家に帰りった>。	リサさんは疲れたから(家に帰りました)。
リサさんは疲れたから家に<帰りった>。	リサさんは疲れたから家に(帰った)。
<健康ため>に毎日走るようにしています。	(健康のため)に毎日走るようにしています。
<健康なため>に毎日走るようにしています。	(健康のため)に毎日走るようにしています。
ドアの前で<待た>。	ドアの前で(待った)。
東京駅は<どこにですか>。	東京駅は(どこですか)。
東京駅はどこに<ですか>。	東京駅はどこに(ありますか)。
<このの本>は私のです。	(この本)は私のです。
図書館は<静かから>勉強ができました。	図書館は(静かだから)勉強ができました。
<図書館は静かから勉強ができました>。	(図書館は静かだったから、勉強ができました)。
ケーキは<すきません>。	ケーキは(すきじゃありません)。
りょうで友だちに<会た>。	りょうで友だちに(会った)。
<りょうで友だちに会た>。	(りょうで友だちができた)。
私は<勉強する>が好きです。	私は(勉強すること)が好きです。
私は<勉強する>が好きです。	私は(勉強するの)が好きです。
友達が私の家にプレゼントを<持ってました>。	友達が私の家にプレゼントを(持ってきました)。
体は大丈夫だから、病院に<いきない>。	体は大丈夫だから、病院に(いかない)。
兄は、せが<小さい>。	兄は、せが(低い)。
今ケーキを<作りています>。	今ケーキを(作っています)。
<今ケーキを作りています>。	(今、ケーキを作っています)。
私はゲームが<好きでも>、忙しいです。	私はゲームが(好きですけど、)、忙しいです。
私はゲームが<好きでも>、忙しいです。	私はゲームが(好きですけど)、忙しいです。
<私はゲームが好きでも、忙しいです>。	(私はゲームが好きですけれど、忙しいです)。
ピアノを<弾く>が上手ですか。	ピアノを(弾くこと)が上手ですか。
<テコノラジで>使います。	(テクノロジーを)使います。
<テコノラジで使います>。	(テクノラジを使います)。
日曜日に<どこへも行きました>。	日曜日に(どこへも行きませんでした)。
日曜日に<どこへも行きました>。	日曜日に(いろいろなところへ行きました)。
今、ラーメンを<作りいます>。	今、ラーメンを(作ります)。
右足を右手で<持つまま>、１０秒立ってください。	右足を右手で(持ったまま)、１０秒立ってください。
この学校は<綺麗広い>ですね。	この学校は(綺麗で広い)ですね。
先生、大学院に行きたいので、すいせんじょうを<書かせてもいいですか>。	先生、大学院に行きたいので、すいせんじょうを(書いていただけますか)。
<先生、大学院に行きたいので、すいせんじょうを書かせてもいいですか>。	(先生、大学院に行きたいので、すいせんじょうをおねがいしてもいいですか)。
スマホは<便利電話>です。	スマホは(便利な電話)です。
日本語は日本に<いて>から勉強しました。	日本語は日本に(いって)から勉強しました。
このスープは<熱いかった>。	このスープは(熱かった)。
バスの中でお水を<飲んではいい>です。	バスの中でお水を(飲んでもいい)です。
<山下さんは>じゃなかったです。	(山下さん)じゃなかったです。
<速いの>電車にのります。	(速い)電車にのります。
来年、中国に<行った>つもりです。	来年、中国に(行く)つもりです。
私の数学の成績は<いいじゃない>です。	私の数学の成績は(よくない)です。
肉を<買うなら>、れいぞうこに入れます。	肉を(買ったら)、れいぞうこに入れます。
お水を<飲むはいい>ですか。	お水を(飲んでもいい)ですか。
去年日本に<行くました>。	去年日本に(行きました)。
妹は<３年生高校>です。	妹は(高校３年生)です。
私のコンピューターを<使うかった>。	私のコンピューターを(使かった)。
あ、バス<に>きましたね。	あ、バス(が)きましたね。
授業を<休みながら>、先生に電話してください。	授業を(休んだら)、先生に電話してください。
授業を休んだら、先生に<電話しで>ください。	授業を休んだら、先生に(電話して)ください。
昨日、学校に<きなかった>。	昨日、学校に(こなかった)。
昨日、<学校にきなかった>。	昨日、(学校に来なかった)。
去年のへやは<暗いでした>。	去年のへやは(暗かったです)。
<去年のへやは暗いでした>。	(去年のへやは暗かった)。
友達と<遊びなかった>。	友達と(遊ばなかった)。
私の猫は<白くて黒い>です。	私の猫は(白と黒)です。
韓国でお土産を<買いて>、日本に帰りました。	韓国でお土産を(買って)、日本に帰りました。
いいえ、先生じゃ<あります>。	いいえ、先生じゃ(ありません)。
プールで<泳んでいます>。	プールで(泳いでいます)。
テストは<やさいです>。	テストは(優しいです)。
一緒に勉強<ましょう>。	一緒に勉強(しましょう)。
すしは、<好きかった>	すしは、(好きだった)
<すしは、好きかった>	(すしは好きだった)
<すしは、好きかった>	(すしはおいしかった)
３年前、ここに学校が<建てました>。	３年前、ここに学校が(建てられました)。
<学生ので>お金がありません。	(学生なので)お金がありません。
<行く>ましょう！	(行き)ましょう！
今日は<寒いだから>、コートを着ます。	今日は(寒いから)、コートを着ます。
私のコンピューターは<便利くて>よく使います。	私のコンピューターは(便利で)よく使います。
私のコンピューターは<便利くてよく使います>。	私のコンピューターは(便利で、よく使います)。
<私のコンピューターは便利くてよく使います>。	(私はコンピューターが便利で、よく使います)。
図書館は、<静かな>でした。	図書館は、(静か)でした。
何か面白いものを<持ています>か。	何か面白いものを(持っています)か。
漢字をたくさん<読みませんです>。	漢字をたくさん(読まないんです)。
漢字をたくさん<読みませんです>。	漢字をたくさん(読みません)。
私の猫は<白いと黒い>です。	私の猫は(白と黒の猫)です。
私の猫は<白いと黒い>です。	私の猫は(白と黒)です。
私はご飯が<好きから>、毎日たべます。	私はご飯が(好きだから)、毎日たべます。
オーディを<聞きて>、帰ります。	オーディを(聞いて)、帰ります。
<オーディを聞きて、帰ります>。	(オーディを聞ききながら、帰ります)。
<オーディを聞きて、帰ります>。	(オーディを聞いてから、帰ります)。
ホテルは<綺麗なで>、よかったです。	ホテルは(綺麗なので)、よかったです。
<ホテルは綺麗なで>、よかったです。	(ホテルは綺麗で)、よかったです。
<たくさん人>が移民すぎますから、難民になります。	(たくさんの人)が移民すぎますから、難民になります。
すしを<食びました>。	すしを(食べました)。
お母さんを<てつだない>。	お母さんを(てつだわない)。
赤ちゃんが<わらいです>。	赤ちゃんが(わらいます)。
ケーキは<すきくない>です。	ケーキは(すきじゃない)です。
私の犬が<あらないで>、こまりました。	私の犬が(いなくなって)、こまりました。
私の犬が<あらないで>、こまりました。	私の犬が(いないで)、こまりました。
コーヒーをたくさん飲んだら、<ねません>。	コーヒーをたくさん飲んだら、(ねられません)。
<コーヒーをたくさん飲んだら、ねません>。	(コーヒーをたくさん飲んだから、ねむれません)。
日本のお寺は<古いで>、面白いです。	日本のお寺は(古くて)、面白いです。
<テニスすない>つもりです。	(テニスはしない)つもりです。
テニス<すない>つもりです。	テニス(しない)つもりです。
昨日の夜、<テレビを見った>。	昨日の夜、(テレビを見た)。
<田中さんは小さい足>ですか。	(田中さんの足は小さい)ですか。
田中さんは<小さい足>ですか。	田中さんは(足が小さい)ですか。
大学<の>行きました。	大学(に)行きました。
私は<まだ朝ごはんを食べませんでした>。	私は(まだ朝ごはんを食べていません)。
私は<まだ朝ごはんを食べませんでした>。	私は(まだ朝ごはんを食べていませんでした)。
先生に<お聞きいいです>か。	先生に(お聞きしてもいいです)か。
友達を紹介<したいですと思います>。	友達を紹介(したいと思います)。
おばけは、<こわいじゃない>です。	おばけは、(こわくない)です。
<ごめんなさいでした>。	(ごめんなさい)。
<ごめんなさい>でした。	(すみません)でした。
日本に行った<ことがいます>。	日本に行った(ことがあります)。
日本に<行くことがあります>。	日本に(行ったことがあります)。
<バスでおります>。	(バスをおります)。
バス<で>おります。	バス(から)おります。
はじめまして、どうぞよろしく<おねがいしました>。	はじめまして、どうぞよろしく(おねがいします)。
本当に<寂しく悲しい>です。	本当に(寂しくて悲しい)です。
<便利なありません>。	(便利じゃありません)。
<便利なありません>。	(便利ではありません)。
今、ちょっと<いそがしです>。	今、ちょっと(いそがしいです)。
おばけは、<こわいくません>。	おばけは、(こわくありません)。
おばけは、<こわいくません>。	おばけは、(こわくないです)。
先生、大学院に行きたいので、すいせんじょうを<書いてもいいですか>。	先生、大学院に行きたいので、すいせんじょうを(書いてくださいますか)。
<先生、大学院に行きたいので、すいせんじょうを書いてもいいですか>。	(先生、大学院に行きたいので、すいせんじょうを書いていただけませんか)。
<先生、大学院に行きたいので、すいせんじょうを書いてもいいですか>。	(先生、大学院に行きたいので、すいせんじょうをおねがいしてもいいですか)。
<はじめました>。どうぞよろしく。	(はじめまして)。どうぞよろしく。
ごはんを<食べる後で>、お風呂に入ります。	ごはんを(食べた後で)、お風呂に入ります。
<ごはんを食べる後で、お風呂に入ります>。	(ごはんを食べてから、お風呂に入ります)。
<ごはんを食べる後で、お風呂に入ります>。	(ごはんを食べたら、お風呂に入ります)。
漢字をたくさん<書いました>。	漢字をたくさん(書きました)。
京都へ行ったことが<ありですか>。	京都へ行ったことが(ありますか)。
去年のへやは<明るいでした>。	去年のへやは(明るかったです)。
<天気がいいで、>ご飯を食べませんか。	(天気がよくて、)ご飯を食べませんか。
天気が<いいで>、ご飯を食べませんか。	天気が(よかったら)、ご飯を食べませんか。
<天気がいいで、ご飯を食べませんか>。	(天気がいいので、ご飯を食べませんか)。
日本語のクラスは<優しいだと思い>ます。	日本語のクラスは(優しいと思い)ます。
<今日にあさごはんは>トーストを食べました。	(今日、あさごはんに)トーストを食べました。
<今日にあさごはんは>トーストを食べました。	(今日のあさごはんは)トーストを食べました。
<今日にあさごはんはトーストを食べました>。	(今日、あさごはんはトーストを食べました)。
ジェーンさんは<長いかみですか>。	ジェーンさんは(かみが長いですか)。
ジェーンさんは長いかみ<ですか>。	ジェーンさんは長いかみ(がありますか)。
宿題を<さない>。	宿題を(しない)。
黄色いものが<あまり好きです>。	黄色いものが(あまり好きじゃないです)。
黄色いものが<あまり好きです>。	黄色いものが(あまり好きではありません)。
黄色いものが<あまり好きです>。	黄色いものが(とても好きです)。
池で<死にますカエル>を見ました。	池で(死んだカエル)を見ました。
池で<死にます>カエルを見ました。	池で(死んでいる)カエルを見ました。
兄は今<宿題をしてい>、遊べません。	兄は今(宿題をしていて)、遊べません。
兄は今宿題を<してい>、遊べません。	兄は今宿題を(しているから)、遊べません。
<兄は今宿題をしてい、遊べません>。	(兄は今宿題をしていますから、遊べません)。
先生に<会あない>。	先生に(会わない)。
先生に<会あない>。	先生に(会えない)。
成人式とは、二十歳になったことを<祝った行事>です。	成人式とは、二十歳になったことを(祝う行事)です。
成人式とは、二十歳に<なったことを祝った>行事です。	成人式とは、二十歳に(なることを祝う)行事です。
リサさんは家に<帰りかった>。	リサさんは家に(帰りたかった)。
リサさんは<家に帰りかった>。	リサさんは(家に帰った)。
シアトルまで<どのぐらいがかかりますか>。	シアトルまで(どのぐらいかかりますか)。
<シアトルまでどのぐらいがかかりますか>。	(シアトルまでどのぐらい時間がかかりますか)。
姉は今<いそがしいで>、電話に出られません。	姉は今(いそがしいので)、電話に出られません。
<姉は今いそがしいで、電話に出られません>。	(姉は今いそがしくて、電話に出られません)。
<左の弟に>私がいます。	(弟の左に)私がいます。
雪が降っていますので、車を<速く運転するないでください>。	雪が降っていますので、車を(速く運転しないでください)。
<雪が降っていますので、車を速く運転するないでください>。	(雪が降っているので、車を速く運転しないでください)。
ハンバーガーが<好きじゃあありません>。	ハンバーガーが(好きじゃありません)。
ハンバーガーが<好きじゃあありません>。	ハンバーガーが(好きではありません)。
この時計は、私の１５歳の誕生日に父が私に<やりました>。	この時計は、私の１５歳の誕生日に父が私に(くれました)。
<この時計は、私の１５歳の誕生日に父が私にやりました>。	(この時計は、私の１５歳の誕生日に父が私にくれたものです)。
田中さんはデパートに<あります>か。	田中さんはデパートに(います)か。
兄はゴルフがあまり<得意くない>です。	兄はゴルフがあまり(得意じゃない)です。
兄はゴルフがあまり<得意くないです>。	兄はゴルフがあまり(得意ではありません)。
お昼ごはんは<冷たいでした>。	お昼ごはんは(冷たかったです)。
この教室は、<ちさいです>。	この教室は、(ちいさいです)。
昨日のパーティは本当に<いいでした>。	昨日のパーティは本当に(よかったです)。
<好きの学科は>、日本語です。	(好きな学科は)、日本語です。
僕は<悪いでした>。	僕は(悪かったです)。
僕は<悪いでした>。	僕は(悪かった)。
天気が<いくて>、公園に行きます。	天気が(よくて)、公園に行きます。
天気が<いくて>、公園に行きます。	天気が(いいので)、公園に行きます。
<使う後は>、かたづけてください。	(使った後で)、かたづけてください。
<使う後は、かたづけてください>。	(使ったあとで、かたづけてください)。
<使う後は>、かたづけてください。	(使った後は)、かたづけてください。
明日は<雨だでしょう>。	明日は(雨でしょう)。
スミスさんは、日本語が<得意から>、勉強しない。	スミスさんは、日本語が(得意だから)、勉強しない。
絶望<さない>でほしい。	絶望(しない)でほしい。
絶望<するない>でほしい。	絶望(しない)でほしい。
<日本文化が>もっと分かるために、日本に留学します。	(日本の文化が)もっと分かるために、日本に留学します。
<日本文化がもっと分かるために>、日本に留学します。	(日本文化をもっと知るために)、日本に留学します。
<クラスから>、お昼ご飯を食べません。	(クラスがあるから)、お昼ご飯を食べません。
クラス<から>、お昼ご飯を食べません。	クラス(で)、お昼ご飯を食べません。
まどの外に<木がいます>。	まどの外に(木があります)。
<まどの外で木がある>。	(まどの外に木がある)。
<外のまどに>木があります。	(まどの外に)木があります。
<あなたはすし>を食べましょうか。	(すし)を食べましょうか。
あなたはすしを<食べましょう>か。	あなたはすしを(食べます)か。
去年、東京に<住みた>。	去年、東京に(住んでいた)。
まどから富士山が<見る>。	まどから富士山が(見える)。
映画はあまり<わるかったです>。	映画はあまり(わるくなかったです)。
映画は<あまり>わるかったです。	映画は(ちょっと)わるかったです。
へやのまどから山が<見る>。	へやのまどから山が(見える)。
好きですが、<スポーツは上手ありません>。	好きですが、(スポーツは上手じゃありません)。
好きですが、<スポーツはじょうずくありません>。	好きですが、(スポーツはじょうずじゃありません)。
好きですが、<スポーツはじょうずくありません>。	好きですが、(スポーツはうまくありません)。
好きですが、<スポーツはじょうずくありません>。	好きですが、(スポーツはじょうずではありません)。
本屋に辞書を<買う行きます>。	本屋に辞書を(買いに行きます)。
昨日のテストは、<いかった>。	昨日のテストは、(よかった)。
病気ですから、<学校に行きないで>。	病気ですから、(学校に行きません)。
病気ですから、学校に<行きない>で。	病気ですから、学校に(行かない)で。
病気ですから、学校に<行きないで>。	病気ですから、学校に(行けません)。
ごはんを<食べない後で>、お風呂に入ります。	ごはんを(食べた後で)、お風呂に入ります。
友達に<ああなかった>。	友達に(あわなかった)。
日本語を<話いた>。	日本語を(話した)。
日本語を<話すた>。	日本語を(話した)。
日本語を<話しだ>。	日本語を(話した)。
<バスを待て>バスに乗ります。	(バスを待って)バスに乗ります。
<バスを待てバスに乗ります>。	(バスを待って、バスに乗ります)。
<バスを待て>バスに乗ります。	(パスを持って)バスに乗ります。
火曜日に勉強<しまた>。	火曜日に勉強(しました)。
火曜日に勉強<しましたです>。	火曜日に勉強(しました)。
火曜日に勉強<したん>。	火曜日に勉強(した)。
